New_York_City	-73.9385004	40.6642738	8491079
Los_Angeles	-118.4108248	34.0193936	3928864
Chicago	-87.6818441	41.8375511	2722389
Houston	-95.3863425	29.7804724	2239558
Philadelphia	-75.1333459	40.0093755	1560297
Phoenix	-112.0879662	33.5721625	1537058
San_Antonio	-98.5251419	29.4724026	1436697
San_Diego	-117.134993	32.8152995	1381069
Dallas	-96.7655033	32.794176	1281047
San_Jose	-121.8193058	37.2968672	1015785
Austin	-97.7559964	30.3071816	912791
Indianapolis	-86.1458378	39.7779954	858325
Jacksonville	-81.6613021	30.3370193	853382
San_Francisco	-122.437392	37.759881	852469
Columbus	-82.9850438	39.9847989	835957
Fort_Worth	-97.3463354	32.7795423	812238
Charlotte	-80.8307389	35.2087069	809958
Detroit	-83.1022365	42.3830375	680250
El_Paso	-106.426979	31.8483598	679036
Nashville	-86.7847898	36.1691287	668347
Seattle	-122.3508761	47.6204993	668342
Denver	-104.8806251	39.7618487	663862
Washington	-77.0170942	38.9041485	658893
Memphis	-89.9784984	35.1035431	656861
Boston	-71.0201725	42.33196	655884
Baltimore	-76.6105159	39.3002135	622793
Oklahoma_City	-97.5136565	35.4670795	620602
Portland	-122.649971	45.5369506	619360
Las_Vegas	-115.2640448	36.2277116	613599
Milwaukee	-87.9666952	43.0633484	599642
Louisville	-85.749534	38.22887	597337
Albuquerque	-106.6473884	35.1055517	557169
Tucson	-110.8710622	32.1542888	527972
Fresno	-119.794492	36.7826736	515986
Sacramento	-121.4686318	38.5665924	485199
Long_Beach	-118.1553273	33.8091018	473577
Kansas_City	-94.5511362	39.125212	470800
Mesa	-111.7173787	33.4019259	464704
Atlanta	-84.4226745	33.7629088	456002
Virginia_Beach	-76.0240202	36.7793219	450980
Omaha	-96.0419269	41.2646751	446599
Colorado_Springs	-104.760749	38.8672553	445830
Raleigh	-78.6414394	35.8302035	439896
Miami	-80.2086152	25.775163	430332
Oakland	-122.2256401	37.7698573	413775
Minneapolis	-93.2682835	44.9633235	407207
Tulsa	-95.9023162	36.1279488	399682
Cleveland	-81.6794861	41.4781381	389521
Wichita	-97.3426776	37.6906938	388413
New_Orleans	-90.059011	29.972754	384320